T1,T2,FAR_T,FAR,FRR_T,FRR,EER
0.80,0.090,0,84.65,39,100.00,92.33
0.80,0.091,0,85.35,39,100.00,92.67
0.80,0.092,0,85.83,39,100.00,92.92
0.80,0.093,0,86.25,39,100.00,93.12
0.80,0.094,0,86.46,43,100.00,93.23
0.80,0.095,0,87.01,43,100.00,93.51
0.80,0.096,0,87.57,43,100.00,93.78
0.80,0.097,0,87.88,45,100.00,93.94
0.80,0.098,0,88.23,45,100.00,94.11
0.80,0.099,0,88.68,45,100.00,94.34
0.81,0.089,0,84.17,39,100.00,92.08
0.81,0.090,0,84.97,39,100.00,92.48
0.81,0.091,0,85.66,39,100.00,92.83
0.81,0.092,0,86.15,39,100.00,93.07
0.81,0.093,0,86.56,39,100.00,93.28
0.81,0.094,0,86.77,43,100.00,93.39
0.81,0.095,0,87.29,43,100.00,93.65
0.81,0.096,0,87.88,43,100.00,93.94
0.81,0.097,0,88.16,45,100.00,94.08
0.81,0.098,0,88.44,45,100.00,94.22
0.80,0.080,0,77.01,39,100.00,88.51
0.80,0.081,0,77.99,39,100.00,88.99
0.80,0.082,0,78.99,39,100.00,89.50
0.80,0.083,0,79.83,39,100.00,89.91
0.80,0.084,0,80.59,39,100.00,90.30
0.80,0.085,0,81.25,39,100.00,90.62
0.80,0.086,0,81.81,39,100.00,90.90
0.80,0.087,0,82.36,39,100.00,91.18
0.80,0.088,0,82.95,39,100.00,91.48
0.80,0.089,0,83.85,39,100.00,91.93
0.83,0.087,0,83.40,39,100.00,91.70
0.83,0.088,0,84.06,39,100.00,92.03
0.83,0.089,0,84.79,39,100.00,92.40
0.83,0.090,0,85.56,39,100.00,92.78
0.83,0.091,0,86.25,39,100.00,93.12
0.83,0.092,0,86.74,39,100.00,93.37
0.83,0.093,0,87.19,39,100.00,93.59
0.83,0.094,0,87.43,43,100.00,93.72
0.83,0.095,0,87.92,43,100.00,93.96
0.83,0.096,0,88.44,43,100.00,94.22
0.80,0.100,0,89.03,45,100.00,94.51
0.81,0.080,0,77.22,39,100.00,88.61
0.81,0.081,0,78.26,39,100.00,89.13
0.81,0.082,0,79.31,39,100.00,89.65
0.81,0.083,0,80.14,39,100.00,90.07
0.81,0.084,0,80.94,39,100.00,90.47
0.81,0.085,0,81.60,39,100.00,90.80
0.81,0.086,0,82.15,39,100.00,91.08
0.81,0.087,0,82.71,39,100.00,91.35
0.81,0.088,0,83.30,39,100.00,91.65
0.82,0.088,0,83.68,39,100.00,91.84
0.82,0.089,0,84.48,39,100.00,92.24
0.82,0.090,0,85.28,39,100.00,92.64
0.82,0.091,0,85.97,39,100.00,92.99
0.82,0.092,0,86.46,39,100.00,93.23
0.82,0.093,0,86.91,39,100.00,93.45
0.82,0.094,0,87.12,43,100.00,93.56
0.82,0.095,0,87.64,43,100.00,93.82
0.82,0.096,0,88.19,43,100.00,94.10
0.82,0.097,0,88.47,45,100.00,94.24
0.84,0.086,0,83.06,39,100.00,91.53
0.84,0.087,0,83.54,39,100.00,91.77
0.84,0.088,0,84.24,39,100.00,92.12
0.84,0.089,0,85.00,39,100.00,92.50
0.84,0.090,0,85.76,39,100.00,92.88
0.84,0.091,0,86.46,39,100.00,93.23
0.84,0.092,0,86.91,39,100.00,93.45
0.84,0.093,0,87.36,39,100.00,93.68
0.84,0.094,0,87.60,43,100.00,93.80
0.84,0.095,0,88.06,43,100.00,94.03
0.84,0.096,0,88.58,43,100.00,94.29
0.84,0.097,0,88.82,45,100.00,94.41
0.84,0.098,0,89.06,45,100.00,94.53
0.84,0.099,0,89.51,45,100.00,94.76
0.84,0.100,0,89.83,45,100.00,94.91
0.85,0.080,0,78.30,39,100.00,89.15
0.85,0.081,0,79.41,39,100.00,89.70
0.85,0.082,0,80.42,39,100.00,90.21
0.85,0.083,0,81.15,39,100.00,90.57
0.85,0.084,0,81.98,39,100.00,90.99
0.82,0.098,0,88.78,45,100.00,94.39
0.82,0.099,0,89.24,45,100.00,94.62
0.82,0.100,0,89.55,45,100.00,94.77
0.83,0.080,0,77.95,39,100.00,88.98
0.83,0.081,0,79.03,39,100.00,89.51
0.83,0.082,0,80.03,39,100.00,90.02
0.83,0.083,0,80.80,39,100.00,90.40
0.83,0.084,0,81.60,39,100.00,90.80
0.83,0.085,0,82.29,39,100.00,91.15
0.83,0.086,0,82.88,39,100.00,91.44
0.81,0.099,0,88.89,45,100.00,94.44
0.81,0.100,0,89.20,45,100.00,94.60
0.82,0.080,0,77.64,39,100.00,88.82
0.82,0.081,0,78.68,39,100.00,89.34
0.82,0.082,0,79.69,39,100.00,89.84
0.82,0.083,0,80.52,39,100.00,90.26
0.82,0.084,0,81.32,39,100.00,90.66
0.82,0.085,0,82.01,39,100.00,91.01
0.82,0.086,0,82.57,39,100.00,91.28
0.82,0.087,0,83.09,39,100.00,91.55
0.86,0.084,0,82.26,39,100.00,91.13
0.86,0.085,0,82.85,39,100.00,91.42
0.86,0.086,0,83.47,39,100.00,91.74
0.86,0.087,0,83.92,39,100.00,91.96
0.86,0.088,0,84.62,39,100.00,92.31
0.86,0.089,0,85.42,39,100.00,92.71
0.86,0.090,0,86.11,39,100.00,93.06
0.86,0.091,0,86.81,39,100.00,93.40
0.86,0.092,0,87.22,39,100.00,93.61
0.86,0.093,0,87.67,39,100.00,93.84
0.83,0.097,0,88.68,45,100.00,94.34
0.83,0.098,0,88.92,45,100.00,94.46
0.83,0.099,0,89.38,45,100.00,94.69
0.83,0.100,0,89.69,45,100.00,94.84
0.84,0.080,0,78.12,39,100.00,89.06
0.84,0.081,0,79.20,39,100.00,89.60
0.84,0.082,0,80.21,39,100.00,90.10
0.84,0.083,0,80.94,39,100.00,90.47
0.84,0.084,0,81.74,39,100.00,90.87
0.84,0.085,0,82.43,39,100.00,91.22
0.85,0.095,0,88.16,43,100.00,94.08
0.85,0.096,0,88.68,43,100.00,94.34
0.85,0.097,0,88.96,45,100.00,94.48
0.85,0.098,0,89.17,45,100.00,94.58
0.85,0.099,0,89.62,45,100.00,94.81
0.85,0.100,0,89.93,45,100.00,94.97
0.86,0.080,0,78.61,39,100.00,89.31
0.86,0.081,0,79.65,39,100.00,89.83
0.86,0.082,0,80.66,39,100.00,90.33
0.86,0.083,0,81.42,39,100.00,90.71
0.85,0.085,0,82.60,39,100.00,91.30
0.85,0.086,0,83.23,39,100.00,91.61
0.85,0.087,0,83.68,39,100.00,91.84
0.85,0.088,0,84.38,39,100.00,92.19
0.85,0.089,0,85.14,39,100.00,92.57
0.85,0.090,0,85.90,39,100.00,92.95
0.85,0.091,0,86.60,39,100.00,93.30
0.85,0.092,0,87.01,39,100.00,93.51
0.85,0.093,0,87.47,39,100.00,93.73
0.85,0.094,0,87.74,43,100.00,93.87
0.86,0.094,0,87.95,43,100.00,93.98
0.86,0.095,0,88.37,43,100.00,94.18
0.86,0.096,0,88.92,43,100.00,94.46
0.86,0.097,0,89.20,45,100.00,94.60
0.86,0.098,0,89.38,45,100.00,94.69
0.86,0.099,0,89.79,45,100.00,94.90
0.86,0.100,0,90.07,45,100.00,95.03
0.87,0.080,0,78.72,39,100.00,89.36
0.87,0.081,0,79.76,39,100.00,89.88
0.87,0.082,0,80.80,39,100.00,90.40
0.87,0.083,0,81.60,39,100.00,90.80
0.87,0.084,0,82.43,39,100.00,91.22
0.87,0.085,0,83.02,39,100.00,91.51
0.87,0.086,0,83.65,39,100.00,91.82
0.87,0.087,0,84.10,39,100.00,92.05
0.87,0.088,0,84.76,39,100.00,92.38
0.87,0.089,0,85.52,39,100.00,92.76
0.87,0.090,0,86.25,39,100.00,93.12
0.87,0.091,0,86.94,39,100.00,93.47
0.87,0.092,0,87.33,39,100.00,93.66
0.87,0.093,0,87.78,39,100.00,93.89
0.87,0.094,0,88.06,43,100.00,94.03
0.87,0.095,0,88.47,43,100.00,94.24
0.87,0.096,0,89.03,43,100.00,94.51
0.87,0.097,0,89.27,45,100.00,94.64
0.87,0.098,0,89.44,45,100.00,94.72
0.87,0.099,0,89.86,45,100.00,94.93
0.87,0.100,0,90.14,45,100.00,95.07
0.88,0.080,0,78.85,39,100.00,89.43
0.88,0.081,0,79.90,39,100.00,89.95
0.88,0.082,0,80.94,39,100.00,90.47
0.88,0.083,0,81.74,39,100.00,90.87
0.88,0.084,0,82.57,39,100.00,91.28
0.88,0.085,0,83.16,39,100.00,91.58
0.88,0.086,0,83.78,39,100.00,91.89
0.88,0.087,0,84.24,39,100.00,92.12
0.88,0.088,0,84.93,39,100.00,92.47
0.88,0.089,0,85.62,39,100.00,92.81
0.88,0.090,0,86.35,39,100.00,93.18
0.88,0.091,0,87.05,39,100.00,93.52
0.88,0.092,0,87.47,39,100.00,93.73
0.88,0.093,0,87.92,39,100.00,93.96
0.88,0.094,0,88.19,43,100.00,94.10
0.88,0.095,0,88.61,43,100.00,94.31
0.88,0.096,0,89.17,43,100.00,94.58
0.88,0.097,0,89.41,45,100.00,94.70
0.88,0.098,0,89.55,45,100.00,94.77
0.88,0.099,0,89.93,45,100.00,94.97
0.88,0.100,0,90.21,45,100.00,95.10
0.89,0.080,0,79.17,39,100.00,89.58
0.89,0.081,0,80.21,39,100.00,90.10
0.89,0.082,0,81.22,39,100.00,90.61
0.89,0.083,0,81.98,39,100.00,90.99
0.89,0.084,0,82.81,39,100.00,91.41
0.89,0.085,0,83.40,39,100.00,91.70
0.89,0.086,0,84.03,39,100.00,92.01
0.89,0.087,0,84.48,39,100.00,92.24
0.89,0.088,0,85.14,39,100.00,92.57
0.89,0.089,0,85.80,39,100.00,92.90
0.89,0.090,0,86.53,39,100.00,93.26
0.89,0.091,0,87.22,39,100.00,93.61
0.89,0.092,0,87.60,39,100.00,93.80
0.89,0.093,0,88.06,39,100.00,94.03
0.89,0.094,0,88.33,43,100.00,94.17
0.89,0.095,0,88.78,43,100.00,94.39
0.89,0.096,0,89.34,43,100.00,94.67
0.89,0.097,0,89.55,45,100.00,94.77
0.89,0.098,0,89.69,45,100.00,94.84
0.89,0.099,0,90.07,45,100.00,95.03
0.89,0.100,0,90.35,45,100.00,95.17
0.90,0.090,0,86.63,40,100.00,93.32
0.90,0.091,0,87.33,40,100.00,93.66
0.90,0.092,0,87.71,40,100.00,93.85
0.90,0.093,0,88.12,40,100.00,94.06
0.90,0.094,0,88.40,43,100.00,94.20
0.90,0.095,0,88.85,43,100.00,94.43
0.90,0.096,0,89.41,43,100.00,94.70
0.90,0.097,0,89.62,45,100.00,94.81
0.90,0.098,0,89.83,45,100.00,94.91
0.90,0.099,0,90.21,45,100.00,95.10
0.90,0.080,0,79.41,39,100.00,89.70
0.90,0.081,0,80.45,39,100.00,90.23
0.90,0.082,0,81.46,39,100.00,90.73
0.90,0.083,0,82.22,39,100.00,91.11
0.90,0.084,0,83.06,39,100.00,91.53
0.90,0.085,0,83.61,39,100.00,91.81
0.90,0.086,0,84.24,39,100.00,92.12
0.90,0.087,0,84.62,40,100.00,92.31
0.90,0.088,0,85.28,40,100.00,92.64
0.90,0.089,0,85.94,40,100.00,92.97
0.92,0.088,0,85.59,40,100.00,92.80
0.92,0.089,0,86.25,40,100.00,93.12
0.92,0.090,0,86.91,40,100.00,93.45
0.92,0.091,0,87.60,40,100.00,93.80
0.92,0.092,0,87.99,40,100.00,93.99
0.92,0.093,0,88.40,40,100.00,94.20
0.92,0.094,0,88.68,48,100.00,94.34
0.92,0.095,0,89.13,48,100.00,94.57
0.92,0.096,0,89.72,48,100.00,94.86
0.92,0.097,0,89.97,48,100.00,94.98
0.90,0.100,0,90.49,45,100.00,95.24
0.91,0.080,0,79.58,39,100.00,89.79
0.91,0.081,0,80.66,39,100.00,90.33
0.91,0.082,0,81.63,39,100.00,90.82
0.91,0.083,0,82.40,39,100.00,91.20
0.91,0.084,0,83.23,39,100.00,91.61
0.91,0.085,0,83.75,39,100.00,91.88
0.91,0.086,0,84.38,39,100.00,92.19
0.91,0.087,0,84.76,40,100.00,92.38
0.91,0.088,0,85.42,40,100.00,92.71
0.91,0.089,0,86.08,40,100.00,93.04
0.91,0.090,0,86.77,40,100.00,93.39
0.91,0.091,0,87.47,40,100.00,93.73
0.91,0.092,0,87.85,40,100.00,93.92
0.91,0.093,0,88.26,40,100.00,94.13
0.91,0.094,0,88.54,43,100.00,94.27
0.91,0.095,0,88.99,43,100.00,94.50
0.91,0.096,0,89.55,43,100.00,94.77
0.91,0.097,0,89.79,45,100.00,94.90
0.91,0.098,0,89.97,45,100.00,94.98
0.91,0.099,0,90.31,45,100.00,95.16
0.91,0.100,0,90.59,45,100.00,95.30
0.92,0.080,0,79.86,39,100.00,89.93
0.92,0.081,0,80.90,39,100.00,90.45
0.92,0.082,0,81.84,39,100.00,90.92
0.92,0.083,0,82.60,39,100.00,91.30
0.92,0.084,0,83.44,39,100.00,91.72
0.92,0.085,0,83.96,39,100.00,91.98
0.92,0.086,0,84.58,39,100.00,92.29
0.92,0.087,0,84.93,40,100.00,92.47
0.92,0.098,0,90.14,48,100.00,95.07
0.92,0.099,0,90.49,48,100.00,95.24
0.92,0.100,0,90.73,48,100.00,95.36
0.93,0.080,0,79.97,39,100.00,89.98
0.93,0.081,0,81.01,39,100.00,90.50
0.93,0.082,0,81.94,39,100.00,90.97
0.93,0.083,0,82.71,39,100.00,91.35
0.93,0.084,0,83.54,39,100.00,91.77
0.93,0.085,0,84.06,39,100.00,92.03
0.93,0.086,0,84.69,39,100.00,92.34
0.93,0.087,0,85.03,40,100.00,92.52
0.93,0.088,0,85.73,40,100.00,92.86
0.93,0.089,0,86.39,40,100.00,93.19
0.93,0.090,0,87.01,40,100.00,93.51
0.93,0.091,0,87.71,40,100.00,93.85
0.93,0.092,0,88.09,40,100.00,94.05
0.93,0.093,0,88.51,40,100.00,94.25
0.93,0.094,0,88.78,48,100.00,94.39
0.93,0.095,0,89.24,48,100.00,94.62
0.93,0.096,0,89.86,48,100.00,94.93
0.93,0.097,0,90.10,48,100.00,95.05
0.93,0.098,0,90.28,48,100.00,95.14
0.93,0.099,0,90.62,48,100.00,95.31
0.93,0.100,0,90.87,48,100.00,95.43
0.94,0.080,0,80.00,39,100.00,90.00
0.94,0.081,0,81.04,39,100.00,90.52
0.94,0.082,0,81.98,39,100.00,90.99
0.94,0.083,0,82.74,39,100.00,91.37
0.94,0.084,0,83.58,39,100.00,91.79
0.94,0.085,0,84.10,39,100.00,92.05
0.94,0.086,0,84.72,39,100.00,92.36
0.94,0.087,0,85.07,40,100.00,92.53
0.94,0.088,0,85.76,40,100.00,92.88
0.94,0.089,0,86.46,40,100.00,93.23
0.94,0.090,0,87.08,40,100.00,93.54
0.94,0.091,0,87.78,40,100.00,93.89
0.94,0.092,0,88.16,40,100.00,94.08
0.94,0.093,0,88.61,40,100.00,94.31
0.94,0.094,0,88.89,48,100.00,94.44
0.94,0.095,0,89.34,48,100.00,94.67
0.94,0.096,0,89.97,48,100.00,94.98
0.94,0.097,0,90.21,48,100.00,95.10
0.94,0.098,0,90.38,48,100.00,95.19
0.94,0.099,0,90.73,48,100.00,95.36
0.94,0.100,0,90.97,48,100.00,95.49
0.95,0.080,0,80.14,39,100.00,90.07
0.95,0.081,0,81.18,39,100.00,90.59
0.95,0.082,0,82.12,39,100.00,91.06
0.95,0.083,0,82.88,39,100.00,91.44
0.95,0.084,0,83.75,39,100.00,91.88
0.95,0.095,0,89.44,48,100.00,94.72
0.95,0.096,0,90.07,48,100.00,95.03
0.95,0.097,0,90.31,48,100.00,95.16
0.95,0.098,0,90.49,48,100.00,95.24
0.95,0.099,0,90.87,48,100.00,95.43
0.95,0.100,0,91.11,48,100.00,95.56
0.96,0.080,0,80.31,39,100.00,90.16
0.96,0.081,0,81.35,39,100.00,90.68
0.96,0.082,0,82.29,39,100.00,91.15
0.96,0.083,0,82.99,39,100.00,91.49
0.95,0.085,0,84.24,39,100.00,92.12
0.95,0.086,0,84.86,39,100.00,92.43
0.95,0.087,0,85.28,40,100.00,92.64
0.95,0.088,0,85.94,40,100.00,92.97
0.95,0.089,0,86.63,40,100.00,93.32
0.95,0.090,0,87.22,40,100.00,93.61
0.95,0.091,0,87.92,40,100.00,93.96
0.95,0.092,0,88.30,40,100.00,94.15
0.95,0.093,0,88.75,40,100.00,94.38
0.95,0.094,0,88.99,48,100.00,94.50
0.96,0.084,0,83.85,39,100.00,91.93
0.96,0.085,0,84.34,39,100.00,92.17
0.96,0.086,0,84.97,39,100.00,92.48
0.96,0.087,0,85.38,40,100.00,92.69
0.96,0.088,0,86.04,40,100.00,93.02
0.96,0.089,0,86.74,40,100.00,93.37
0.96,0.090,0,87.33,40,100.00,93.66
0.96,0.091,0,88.02,40,100.00,94.01
0.96,0.092,0,88.40,40,100.00,94.20
0.96,0.093,0,88.85,40,100.00,94.43
0.96,0.094,0,89.10,48,100.00,94.55
0.96,0.095,0,89.51,48,100.00,94.76
0.96,0.096,0,90.14,48,100.00,95.07
0.96,0.097,0,90.38,48,100.00,95.19
0.96,0.098,0,90.56,48,100.00,95.28
0.96,0.099,0,90.94,48,100.00,95.47
0.96,0.100,0,91.18,48,100.00,95.59
0.97,0.080,0,80.56,39,100.00,90.28
0.97,0.081,0,81.56,39,100.00,90.78
0.97,0.082,0,82.47,39,100.00,91.23
0.97,0.093,0,89.06,40,100.00,94.53
0.97,0.094,0,89.27,48,100.00,94.64
0.97,0.095,0,89.69,48,100.00,94.84
0.97,0.096,0,90.31,48,100.00,95.16
0.97,0.097,0,90.56,48,100.00,95.28
0.97,0.098,0,90.76,48,100.00,95.38
0.97,0.099,0,91.15,48,100.00,95.57
0.97,0.100,0,91.39,48,100.00,95.69
0.98,0.080,0,80.76,39,100.00,90.38
0.98,0.081,0,81.74,39,100.00,90.87
0.97,0.083,0,83.16,39,100.00,91.58
0.97,0.084,0,84.03,39,100.00,92.01
0.97,0.085,0,84.51,39,100.00,92.26
0.97,0.086,0,85.10,39,100.00,92.55
0.97,0.087,0,85.52,40,100.00,92.76
0.97,0.088,0,86.18,40,100.00,93.09
0.97,0.089,0,86.94,40,100.00,93.47
0.97,0.090,0,87.53,40,100.00,93.77
0.97,0.091,0,88.23,40,100.00,94.11
0.97,0.092,0,88.61,40,100.00,94.31
0.98,0.092,0,88.75,40,100.00,94.38
0.98,0.093,0,89.20,40,100.00,94.60
0.98,0.094,0,89.38,48,100.00,94.69
0.98,0.095,0,89.79,48,100.00,94.90
0.98,0.096,0,90.38,48,100.00,95.19
0.98,0.097,0,90.62,48,100.00,95.31
0.98,0.098,0,90.83,48,100.00,95.42
0.98,0.099,0,91.18,48,100.00,95.59
0.98,0.100,0,91.42,48,100.00,95.71
0.99,0.080,0,80.90,39,100.00,90.45
0.98,0.082,0,82.64,39,100.00,91.32
0.98,0.083,0,83.37,39,100.00,91.68
0.98,0.084,0,84.24,39,100.00,92.12
0.98,0.085,0,84.72,39,100.00,92.36
0.98,0.086,0,85.35,39,100.00,92.67
0.98,0.087,0,85.80,40,100.00,92.90
0.98,0.088,0,86.39,40,100.00,93.19
0.98,0.089,0,87.12,40,100.00,93.56
0.98,0.090,0,87.71,40,100.00,93.85
0.98,0.091,0,88.40,40,100.00,94.20
0.99,0.091,0,88.54,40,100.00,94.27
0.99,0.092,0,88.89,40,100.00,94.44
0.99,0.093,0,89.38,40,100.00,94.69
0.99,0.094,0,89.55,48,100.00,94.77
0.99,0.095,0,89.97,48,100.00,94.98
0.99,0.096,0,90.56,48,100.00,95.28
0.99,0.097,0,90.80,48,100.00,95.40
0.99,0.098,0,91.01,48,100.00,95.50
0.99,0.099,0,91.35,48,100.00,95.68
0.99,0.100,0,91.60,48,100.00,95.80
0.99,0.081,0,81.84,39,100.00,90.92
0.99,0.082,0,82.78,39,100.00,91.39
0.99,0.083,0,83.51,39,100.00,91.75
0.99,0.084,0,84.38,39,100.00,92.19
0.99,0.085,0,84.86,39,100.00,92.43
0.99,0.086,0,85.49,39,100.00,92.74
0.99,0.087,0,85.94,40,100.00,92.97
0.99,0.088,0,86.53,40,100.00,93.26
0.99,0.089,0,87.26,40,100.00,93.63
0.99,0.090,0,87.85,40,100.00,93.92
